ID,Name,Domain,Reg date,Title,Brand name,.com,.net,.org,.biz,Global rank,Top country,Google results,Link
2,product,example.com,N/A,This is the title of the page,example,Yes,Yes,Yes,Yes,"156,342",Germany,"13,500",N/A
48,Jamorama,jamorama.com,03/07/04,Jamorama Full Beginners Course - How to Play Guitar with Jamorama Guitar Lessons&trade;,Jamorama,No,No,No,No,"51,148",USA,"739,000",http://www.jamorama.com/jamorama-beginners-guitar-course?hop=gmiltd&utm_source=cbdefhop&utm_medium=gmiltd&utm_campaign=Jamorama-Download-Product
65,Fed Grant,federalgrantsource.org,04/02/06,Free Government Grants,Federal Grant Source,No,No,No,Yes,"1,151,192",N/A,"57,100",http://www.federalgrantsource.org/offer/?hop=gmiltd
77,QuiBids,quibids.com,05/19/09,Get Started Today! - QuiBids.com,Quibids,No,No,No,No,"3,571",USA,"1,120,000",https://www.quibids.com/en/landing/?mb=jpa&lp=190&aid=6&sspdata=200f30f76a80d9dfef66232414d0d224285
144,APP,webfortunemaster.com,01/31/13,Web Fortune Master,Web Fortune Master,No,No,No,Yes,"63,608",USA,"937,000",http://webfortunemaster.com/hik49/?misc1=888-676-5188&caid=28972&misc3=685342820&caCode=GhpmAngBus&nopop=0&stid=363&cid2=14828
157,Colothin,healthycheckout.com,08/16/10,ColoThin - Detoxify Naturally,ColoThin,No,Yes,Yes,Yes,"183,757",USA,"115,000",http://secure.healthycheckout.com/o/clthn2/landing?utm_campaign=cb_clthn2_1&utm_content=548994&utm_medium=email&utm_source=cb#none
159,Vimax,vimaxtrial.com,01/29/10,Vimax - #1 Male Enhancement Pill,Vimax,No,No,No,No,"411,539",USA,"9,280,000",https://www.vimaxtrial.com/
207,AcaiBerryWeightLoss,secure-order-now.com,09/10/13,Garcinia Cambogia,Pure Garcinia Cambogia Extract,No,No,No,Yes,"2,829,161",USA,"8,380,000",https://secure-order-now.com/offer/garcinia8348/?country=us&PubID=9&PC=577&path=garcinia-olive-plat&SID=685343726&SID2=300001&LPID=401&ClickID=29856408
227,SpeedUpYourPC,turboyourpc.com,05/26/11,Speed Up Your PC - Turbo Your PC - Make Your Computer Faster,Turbo Your PC,No,No,No,Yes,"1,041,684",N/A,"327,000",http://www.turboyourpc.com/
304,Auravie,getauravieskin.com,12/09/11,Auravie SkinCare,AuraVie,No,No,No,Yes,"4,397,549",N/A,"214,000",http://getauravieskin.com/?&affid=130015&c1=412460632&c2=685344286&c3=&sid=11
342,Sytropin,sytropin.com,06/06/03,Sytropin - Build Muscle Faster,Sytropin,No,No,No,No,"242,159",USA,"485,000",http://www.sytropin.com/free_trial_offer.html?n=111&subid=235
350,HydroxatoneCA,bellalabs.com,03/29/11,BellaLabs - Instant Wrinkle Reducer,BellaLabs,No,No,No,Yes,"270,861",USA,"134,000",http://www.bellalabs.com/trial/index.php?AFID=96&SID=16&utm_source=96
354,LearnPhotoshop,learnphotoshopnow.com,01/27/05,Learn How to Use Photoshop in Just 2 Hours >> Online Photoshop Video Tutorials,Getting Started With Photoshop,No,Yes,Yes,Yes,"69,132",China,"614,000",http://www.learnphotoshopnow.com/
400,BellaPlexCA,levelayouth.com,12/28/11,Levela Anti-Aging Formula,Levela,No,No,No,Yes,"1,082,793",USA,"13,900,000",https://www.levelayouth.com/o/lvla3/landing?utm_campaign=guru_lvla3_2&utm_content=300001&utm_medium=email&utm_source=guru#none
463,KollagenIntensiv,bellalabs.com,03/29/11,BellaLabs - Instant Wrinkle Reducer,BellaLabs,No,No,No,Yes,"270,861",USA,"134,000",http://www.bellalabs.com/trial/index.php?AFID=96&SID=16&utm_source=96
